;Kingdom;Phylum;Class;Order;Family;Genus
ASV_6330;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
ASV_6331;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Opitutaceae;Lacunisphaera
ASV_6332;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA
ASV_6333;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Thermomonas
ASV_6334;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA
ASV_6335;Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium
ASV_6336;Bacteria;Proteobacteria;Alphaproteobacteria;AT-s3-44;NA;NA
ASV_6337;Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;NA;NA
ASV_6338;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;DEV114
ASV_6339;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;NA
ASV_6340;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02
ASV_6341;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sandarakinorhabdus
ASV_6342;Bacteria;NA;NA;NA;NA;NA
ASV_6343;Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA
ASV_6344;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;NA
ASV_6345;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;NA
ASV_6346;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium
ASV_6347;Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI clade
ASV_6348;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;MND1
ASV_6349;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubellimicrobium
ASV_6350;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;KD3-93;NA
ASV_6351;Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter
ASV_6352;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium
ASV_6353;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia
ASV_6354;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;966-1
ASV_6355;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;SC-I-84;NA
ASV_6356;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Ahniella
ASV_6357;Bacteria;NA;NA;NA;NA;NA
ASV_6358;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia
ASV_6359;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
